Program,Exception Type,Code
IMMENRM,Missing copybook,GR3776     COPY EPSAPICP.                                                       
IMMENRM,Missing copybook,GR3776     COPY EPSPACOP.                                                       
IMMENRM.COB,Missing variable referrence,SK3498     CALL IMBTOFIO-PGM-NAME       USING IMBTOFIO-IO-AREA                  
IMMENRM.COB,Missing variable referrence,SK3498     CALL IMBTOFIO-PGM-NAME   USING IMBTOFIO-IO-AREA                      
IMMENRM.COB,Missing variable referrence,           CALL IMMMNIOS-PGM-NAME    USING IMMMNIOS-IO-AREA                     
IMMENRM.COB,Missing variable referrence,           CALL IMBGRFIO-PGM-NAME   USING IMBGRFIO-IO-AREA                      
IMM0843.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMIMBU.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME       USING IMBXCIOS-IO-AREA                  
IMMIMBU.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME       USING IMBXEIOS-IO-AREA                  
IMMIMBU.COB,Missing variable referrence,CT1584     CALL IMBXAIOS-PGM-NAME   USING IMBXAIOS-IO-AREA                      
IMMIMBU.COB,Missing variable referrence,           CALL IMBXPIOS-PGM-NAME   USING IMBXPIOS-IO-AREA                      
IMMIMBU.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMIMTX.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME        USING IMBXCIOS-IO-AREA                 
IMMIMTX.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMIDRQ.COB,Missing variable referrence,RR3611     CALL IMBTOFIO-PGM-NAME           USING IMBTOFIO-IO-AREA              
IMMIDRQ.COB,Missing variable referrence,SK3493         CALL IMBACOS-PGM-NAME USING                                      
IMMIDRQ.COB,Missing variable referrence,CT4231         CALL IMBACOS-PGM-NAME USING                                      
IMMIDRQ.COB,Missing variable referrence,           CALL IMMMNIOS-PGM-NAME   USING IMMMNIOS-IO-AREA                      
IMMEMTX.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMEMTX.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMEMTX.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME        USING IMBXCIOS-IO-AREA                 
